"id","name","domain_name","address","city","state","country","postal_code","industry","employees","website","phone","customer_type","notes","created_at","updated_at","deleted_at","created_by","updated_by","customer_code","email"
"c51702d7-bc88-4c56-8865-bfc35bcbbb1d","测试客户公司E","testcompanye.com","杭州市西湖区测试路555号","杭州","浙江省","中国","310000","电子商务","500","https://www.testcompanye.com","057155667788","BUYER","测试客户E","""2026-01-08T19:11:28.913Z""","""2026-01-08T19:11:28.913Z""","","94e66b60-911e-4955-bdbc-0b3bdddb3518","","BUY003","service@testcompanye.com"
"059a7662-97e3-46cf-aab3-013589f37a2d","测试客户公司C","testcompanyc.com","广州市天河区测试街789号","广州","广东省","中国","510000","零售","200","https://www.testcompanyc.com","02011223344","BUYER","测试客户C","""2026-01-08T19:11:28.913Z""","""2026-01-08T19:11:28.913Z""","","94e66b60-911e-4955-bdbc-0b3bdddb3518","","BUY002","hello@testcompanyc.com"
"490d17ec-5854-4346-aa3a-8bd7074a2f2e","测试供应商公司B","testsupplierb.com","上海市浦东新区测试大道456号","上海","上海市","中国","200000","贸易","80","https://www.testsupplierb.com","02187654321","SUPPLIER","测试供应商B，用于导入功能验证","""2026-01-08T19:11:28.913Z""","""2026-01-08T19:11:28.913Z""","","94e66b60-911e-4955-bdbc-0b3bdddb3518","","SUP001","info@testsupplierb.com"
"d5ddae8c-f47a-49c9-ace2-c4d4a4233265","测试供应商公司D","testsupplierd.com","深圳市南山区测试路321号","深圳","广东省","中国","518000","科技","300","https://www.testsupplierd.com","075599887766","SUPPLIER","测试供应商D","""2026-01-08T19:11:28.913Z""","""2026-01-08T19:11:28.913Z""","","94e66b60-911e-4955-bdbc-0b3bdddb3518","","SUP002","sales@testsupplierd.com"
"9193ca3a-df3e-46ac-b288-fe92b27bf0ec","测试客户公司A","testcompanya.com","北京市朝阳区测试路123号","北京","北京市","中国","100000","制造业","150","https://www.testcompanya.com","01012345678","BUYER","测试客户A，用于导入功能验证","""2026-01-08T19:11:28.913Z""","""2026-01-08T19:11:28.913Z""","","94e66b60-911e-4955-bdbc-0b3bdddb3518","","BUY001","contact@testcompanya.com"
"5016a459-f6da-4986-81c6-7e02f472403b","性能测试公司3","","","","","","","","","","","BUYER","","""2026-01-08T16:49:26.065Z""","""2026-01-08T16:49:26.065Z""","","94e66b60-911e-4955-bdbc-0b3bdddb3518","","BUY9661992","perf-test-3@test.com"
"debcd6e7-e225-4828-9adb-bb079cd665d9","性能测试公司1","","","","","","","","","","","BUYER","","""2026-01-08T16:49:26.065Z""","""2026-01-08T16:49:26.065Z""","","94e66b60-911e-4955-bdbc-0b3bdddb3518","","BUY9660680","perf-test-1@test.com"
"9d1b35d6-ce5b-484b-a613-a2175daf7cba","性能测试公司46","","","","","","","","","","","SUPPLIER","","""2026-01-08T16:49:26.065Z""","""2026-01-08T16:49:26.065Z""","","94e66b60-911e-4955-bdbc-0b3bdddb3518","","SUP96893345","perf-test-46@test.com"
"eb87b633-c4b9-4e1d-9e34-8239a09af9cc","性能测试公司994","","","","","","","","","","","SUPPLIER","","""2026-01-08T16:49:26.065Z""","""2026-01-08T16:49:26.065Z""","","94e66b60-911e-4955-bdbc-0b3bdddb3518","","SUP030858993","perf-test-994@test.com"
"93d45eb1-db07-493b-a988-9814f4771424","性能测试公司9","","","","","","","","","","","BUYER","","""2026-01-08T16:49:26.065Z""","""2026-01-08T16:49:26.065Z""","","94e66b60-911e-4955-bdbc-0b3bdddb3518","","BUY9666088","perf-test-9@test.com"
